Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sales Per Unit,Original Unit Price,Lead Time
2022-11-07,2022-11-10,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,130.98,130.98,3 days
2022-11-07,2022-11-10,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.9399999999999,3,0.0,219.58199999999997,243.98,243.98,3 days
2022-06-11,2022-06-15,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8713999999999995,7.31,7.31,4 days
2021-10-09,2021-10-16,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.03100000000006,191.5155,348.21,7 days
2021-10-09,2021-10-16,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368000000000002,2,0.2,2.516399999999999,11.184000000000001,13.98,7 days
2020-06-07,2020-06-12,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.169399999999996,6.9799999999999995,6.9799999999999995,5 days
2020-06-07,2020-06-12,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656000000000002,1.82,1.82,5 days
2020-06-07,2020-06-12,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.71520000000004,151.192,188.99,5 days
2020-06-07,2020-06-12,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,6.168,7.71,5 days
2020-06-07,2020-06-12,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.46999999999999,22.98,22.98,5 days
2020-06-07,2020-06-12,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.1840000000002,9,0.2,85.3091999999998,189.57600000000002,236.97000000000003,5 days
2020-06-07,2020-06-12,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.35680000000002,227.856,284.82,5 days
2023-04-14,2023-04-19,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552000000000003,3,0.2,5.4432,5.184000000000001,6.480000000000001,5 days
2022-12-04,2022-12-09,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.97600000000006,3,0.2,132.59219999999993,135.99200000000002,169.99,5 days
2021-11-20,2021-11-24,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.80999999999999,5,0.8,-123.858,13.761999999999997,68.81,4 days
2021-11-20,2021-11-24,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.5439999999999996,3,0.8,-3.8160000000000016,0.8479999999999999,4.24,4 days
2020-11-09,2020-11-16,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.317599999999999,110.98,110.98,7 days
2020-05-11,2020-05-13,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.989999999999995,27.75,27.75,2 days
2020-08-25,2020-08-30,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4823999999999993,4.28,4.28,5 days
2020-08-25,2020-08-30,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48000000000002,3,0.2,16.01099999999998,71.16000000000001,88.95,5 days
2020-08-25,2020-08-30,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.383999999999999,5.68,7.1,5 days
2022-12-08,2022-12-12,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.459999999999997,7,0.0,5.0596,2.78,2.78,4 days
